unit_id,arm,user_id,scenario_id,seed,turn_index,local_first_text_ms,local_complete_ms,local_first_token_ms,generator_first_token_ms,state_hydration_ms,policy_ms,retrieval_ms,prompt_build_ms,tokenization_ms,generation_setup_ms,generation_ms,final_decode_ms,input_tokens,output_tokens,source_invocations
state_50459bc9b13d5cca092f,me_r0,p2,p2:1,303,8,252.38506061335406,2767.3526053161672,252.32553901150823,245.61354370477298,0.11244392953813076,0.0073053718854983645,3.367190637315313,0.016184368481238682,3.172467928379774,0.036403071135282516,2760.5051259355,0.13548407393197218,1423.0,92.0,1.0
state_50459bc9b13d5cca092f,pm_off,p2,p2:1,303,8,542.9109943409761,2955.7044360165796,542.8574069713553,297.364628330494,0.11456004964808623,7.2428889106959105,233.93459509437284,0.0424339280774196,4.114633658900857,0.043666999166210495,2710.064948303625,0.14670907209316889,1766.0,88.0,3.0
state_50459bc9b13d5cca092f,rule_off,p2,p2:1,303,8,597.7432866736004,3015.2996135875583,597.6683058931181,297.80102722967666,0.12512660274902979,236.53068703909716,58.53803168671826,0.04825702247520288,4.574034906302889,0.051141406099001564,2715.2798866542676,0.15244826984902224,1766.0,88.0,3.0
state_547bc005cd05ca042368,context_only,p12,p12:1,202,8,88.28001127888759,1632.539223646745,88.22843137507637,86.49839903227985,0.12901006266474724,0.007477588951587677,0.04542937191824118,0.01209337885181109,1.4945002427945535,0.04152169761558374,1630.6665449713666,0.14264633258183798,427.0,58.0,0.0
state_547bc005cd05ca042368,fixed_off,p12,p12:1,202,8,550.4970777935038,2056.5309807037315,550.419242043669,296.2117656910171,0.14141706439356008,0.008033045257131258,249.41642000339925,0.056458249067266784,4.535999692355593,0.049148298179109894,1802.1873160420607,0.1361883090188106,1741.0,55.0,4.0
state_547bc005cd05ca042368,me_r0,p12,p12:1,202,8,252.86979903467,2229.8528365790844,252.80575236926475,246.07229007718465,0.1279730349779129,0.008054310455918312,3.0604589264839888,0.020287387693921726,3.475120368724068,0.041568263744314514,2222.9656220879406,0.15375219906369844,1432.0,72.0,1.0
state_547bc005cd05ca042368,pm_off,p12,p12:1,202,8,605.3656343525896,2104.0979524453483,605.3040590292463,284.489619700859,0.13214473923047385,7.8593262781699496,308.4076549857855,0.047837073604265846,4.3193982758869724,0.048077975710233055,1783.1459607308109,0.13755238614976406,1715.0,55.0,3.0
state_547bc005cd05ca042368,rule_off,p12,p12:1,202,8,552.6176465985676,2068.677759884546,552.5321473057071,284.9830340128392,0.14314094247917333,247.42546933703125,15.043417302270731,0.053366413339972496,4.826900937284033,0.05681836046278477,1800.9696799175192,0.1589666741589705,1715.0,55.0,3.0
state_5995d11f3914014f832f,context_only,p12,p12:2,202,8,89.44462131087978,2073.980719627192,89.37817563613255,87.62073027901351,0.12943707406520844,0.007810536772012711,0.04012673161923885,0.010660306240121523,1.528326344365875,0.04108436405658722,2072.064862586558,0.15841168351471424,447.0,74.0,0.0
state_5995d11f3914014f832f,fixed_off,p12,p12:2,202,8,538.4561580140144,2006.4168566993128,538.3949304620425,281.1290114186704,0.12035535958906014,0.007134318972627322,252.6904478048285,0.054474842424194016,4.345206699023644,0.04830001853406429,1749.0388656345506,0.11207202139000098,1684.0,54.0,4.0
state_5995d11f3914014f832f,me_r0,p12,p12:2,202,8,236.87770628991225,1707.0477760086458,236.82503309100866,231.048894347623,0.11386675760149956,0.0072640056411425276,2.6929889184733233,0.015456927940249443,2.9117497615516186,0.03481237217783928,1701.1144696734846,0.15716759177545706,1301.0,54.0,1.0
state_5995d11f3914014f832f,pm_off,p12,p12:2,202,8,534.5471133477986,2002.3256733547896,534.4742810508857,265.13584206501645,0.1256649848073721,7.707731643070777,257.0135574011753,0.053357332944869995,4.382793636371692,0.055333987499276795,1732.8727810333173,0.1144533356030782,1658.0,54.0,3.0
state_5995d11f3914014f832f,rule_off,p12,p12:2,202,8,547.9338052682579,2023.2526840021212,547.8727406201264,264.95079362454516,0.12283399701118469,223.73565596838793,55.07807736285031,0.03832896860937277,3.90444602817297,0.042604670549432434,1740.1927150009822,0.13802200555801392,1658.0,54.0,3.0
state_5ef2ff288425670c81ce,context_only,p14,p14:2,101,8,89.64218439844747,1617.6286823271464,89.57984034592907,87.59029729602237,0.14462733330825964,0.008709651107589403,0.04442602706452211,0.012086005881428719,1.73094030469656,0.04875372784833113,1615.4937716200948,0.1453676571448644,440.0,57.0,0.0
state_5ef2ff288425670c81ce,fixed_off,p14,p14:2,101,8,566.85711001046,2302.5211276641735,566.7625426625212,284.7580375770728,0.1396879864235719,0.0087936253597339,276.5301134592543,0.06766764757533868,5.194437302028139,0.06380506480733554,2020.3805019458134,0.13612063291172186,1726.0,63.0,4.0
state_5ef2ff288425670c81ce,me_r0,p14,p14:2,101,8,239.29945658892393,2344.842079638814,239.21618098393083,232.9850250389427,0.13946757341424623,0.008387723937630653,2.5139869345972934,0.019653700292110443,3.503423339376847,0.0462366733700037,2338.4421529869237,0.16877070690194765,1339.0,77.0,1.0
state_5ef2ff288425670c81ce,pm_off,p14,p14:2,101,8,632.95415455165,2362.9242203508816,632.880838898321,281.21068025939167,0.12565497308969498,7.718052016571164,339.2663283739239,0.0523376123358806,4.457106969008843,0.05067869399984678,2011.0913993169863,0.16266239496568838,1701.0,63.0,3.0
state_5ef2ff288425670c81ce,rule_off,p14,p14:2,101,8,552.4169769293318,2284.3525630111494,552.3347292716304,281.760529614985,0.1393352479984363,251.5641184678922,13.92636657692492,0.05695573054254055,4.8293798851470155,0.05804374814033508,2013.6297110002488,0.14865235425531864,1701.0,63.0,3.0
state_6496c9e69ce2bb7f9473,context_only,p9,p9:1,303,3,73.46898627777894,1919.0247029376526,73.42411166367431,71.94078030685584,0.13212921718756357,0.00798678956925869,0.03160427634914716,0.010793407758076986,1.2576356530189514,0.043182012935479484,1917.3885415463399,0.15283003449440002,311.0,69.0,0.0
state_6496c9e69ce2bb7f9473,fixed_off,p9,p9:1,303,3,442.3728853774567,2275.842664685721,442.29978090152144,244.25182227666178,0.13992229166130224,0.009633678322037062,193.42947766805688,0.06110500544309616,4.349833664794763,0.05798631658156713,2077.640400345748,0.15430571511387825,1509.0,67.0,4.0
state_6496c9e69ce2bb7f9473,me_r0,p9,p9:1,303,3,186.08720763586462,2045.4158733288448,186.02873392713568,181.0227105549226,0.10704233621557553,0.00671002392967542,2.132629044353962,0.015293558438618978,2.7081670705229044,0.03618133875230948,2040.2619785939653,0.147871362666289,1135.0,69.0,1.0
state_6496c9e69ce2bb7f9473,pm_off,p9,p9:1,303,3,306.84782564640045,1773.4609640513856,306.7848039014886,120.53758084463577,0.12443501812716325,6.246641976758838,177.4498336793234,0.04226271994411945,2.332362268740932,0.05168739395836989,1587.0707919045042,0.14294909002880254,694.0,55.0,3.0
state_6496c9e69ce2bb7f9473,rule_off,p9,p9:1,303,3,425.05111002052826,2256.0395539427795,424.97435794211924,242.1302633204808,0.1173020185281833,166.56556027010083,12.237022009988626,0.04237199512620767,3.831790992990136,0.05004733490447203,2073.050773314511,0.1446860066304604,1483.0,67.0,3.0
state_653f2779410b1620f004,context_only,p13,p13:1,202,3,73.21290493321915,1181.9458513054997,73.18072494429846,71.91157372047503,0.10918530945976575,0.006570946425199509,0.025797712927063305,0.008203942949573198,1.0849042640378077,0.03448904802401861,1180.5416723558058,0.1350277258704106,314.0,42.0,0.0
state_653f2779410b1620f004,fixed_off,p13,p13:1,202,3,425.49661407247186,2170.5736310686916,425.40370936815935,232.18524673332772,0.14594437864919504,0.008387646327416102,188.98775009438396,0.06039626896381378,3.9578950187812247,0.05808922772606214,1977.2122350210946,0.1429334127654632,1324.0,64.0,4.0
state_653f2779410b1620f004,me_r0,p13,p13:1,202,3,177.46644001454115,2453.979332000017,177.38703568466008,171.19283174785474,0.15420536510646343,0.009374072154362997,2.861450193449855,0.02109274889032046,3.095805256937941,0.05227630026638508,2447.6500786840916,0.1350493791202704,992.0,84.0,1.0
state_653f2779410b1620f004,pm_off,p13,p13:1,202,3,381.53753243386745,2115.105512474353,381.47396113102633,197.81368637147048,0.12037049358089764,6.240620200211803,173.82251533369222,0.04592103262742361,3.3798083507766328,0.05103934866686662,1931.3047709874809,0.14046672731637955,1249.0,64.0,3.0
state_653f2779410b1620f004,rule_off,p13,p13:1,202,3,397.3672177332143,2129.4607600818076,397.3119246462981,229.76707527413964,0.11057041895886262,153.16606390600404,11.0632983657221,0.03312396196027597,3.128727354730169,0.043065364783008896,1961.7769519488018,0.138958760847648,1299.0,64.0,3.0
state_66872e1a536d8b32a329,context_only,p1,p1:1,101,8,89.07517596768837,2073.0154522849866,89.02110788039863,87.06900896504521,0.14422057817379633,0.008192689468463263,0.047128647565841675,0.012026013185580572,1.6941266755263011,0.046404311433434486,2070.910522947088,0.15283042254547277,437.0,74.0,0.0
state_66872e1a536d8b32a329,fixed_off,p1,p1:1,101,8,534.3535447803637,1941.7505190552522,534.2854941263795,305.1789960203071,0.1096304040402174,0.0067213550209999084,224.59087365617356,0.04715293956299623,4.307957055668036,0.04416269560654958,1712.4874766450375,0.15654430414239565,1844.0,51.0,4.0
state_66872e1a536d8b32a329,me_r0,p1,p1:1,101,8,251.02612228753665,1988.1433206610382,250.96709257923067,243.21410028884807,0.11302825684348743,0.007038392747441928,4.1811729315668344,0.016673312832911808,3.399547111863891,0.035532284528017044,1980.271397313724,0.11893105693161488,1511.0,64.0,1.0
